Time (s),Current (A)
428.85,0.0002913866
430.05,0.0002917172
431.21,0.0002920399
432.36,0.0002924441
433.5,0.0002929468
434.64,0.0002933527
435.79,0.0002939268
436.93,0.0002941565
438.07,0.000294692
439.2,0.000294808
440.35,0.000294985
441.5,0.0002950404
442.63,0.000294926
443.78,0.0002948306
444.92,0.0002947139
446.06,0.0002944144
447.21,0.0002940527
448.35,0.0002937788
449.49,0.0002933418
450.63,0.0002928893
451.78,0.0002925223
452.91,0.0002921456
454.06,0.0002918507
455.2,0.0002914976
456.35,0.0002911552
457.5,0.0002909522
458.64,0.0002907776
459.78,0.0002906556
460.94,0.0002906269
462.09,0.000290659
463.24,0.000290849
464.39,0.000291039
465.54,0.0002911926
466.68,0.0002914707
467.82,0.0002918496
468.97,0.000292196
470.11,0.0002925267
471.25,0.0002927811
472.39,0.0002931238
473.53,0.0002933802
474.68,0.0002935495
475.82,0.0002936354
476.96,0.0002939518
478.1,0.0002940323
479.24,0.0002939209
480.43,0.0002939837
481.58,0.0002939281
482.73,0.0002938095
483.88,0.0002935523
485.02,0.0002933202
486.16,0.0002930184
487.3,0.0002928341
488.44,0.0002925097
489.58,0.0002923487
490.73,0.0002921045
491.87,0.0002919601
493.01,0.000291869
494.15,0.0002918187
495.29,0.0002919285
496.43,0.0002919715
497.57,0.0002921424
498.72,0.0002925093
499.86,0.0002929464
501.01,0.0002934018
502.15,0.0002939433
503.29,0.0002945228
504.45,0.0002949936
505.58,0.0002953816
506.73,0.0002957206
507.89,0.0002959765
509.04,0.0002961426
510.19,0.0002960957
511.34,0.0002959644
512.49,0.0002958122
513.63,0.0002954926
514.78,0.0002951126
515.93,0.0002946918
517.08,0.0002942357
518.23,0.0002936904
519.38,0.0002931238
520.52,0.0002927017
521.67,0.0002922228
522.82,0.0002916438
523.97,0.0002912187
525.12,0.0002908841
526.27,0.0002905729
527.43,0.0002903924
528.57,0.0002902519
529.71,0.0002903275
530.87,0.000290461
532.0,0.0002896046
533.16,0.0002910629
534.3,0.0002913736
535.44,0.0002919738
536.58,0.0002926208
537.72,0.0002928036
538.87,0.0002936912
540.0,0.00029445
541.14,0.0002950968
542.29,0.0002955841
543.43,0.0002959755
544.57,0.0002958842
545.72,0.0002964975
546.86,0.0002963917
548.0,0.000296373
549.14,0.00029634
550.3,0.0002960939
551.44,0.0002957883
552.58,0.0002956573
553.74,0.0002951784
554.88,0.0002947621
556.03,0.0002943364
557.17,0.0002939221
558.32,0.0002934699
559.45,0.0002929425
560.59,0.0002924527
561.74,0.0002920172
562.88,0.0002916201
564.02,0.0002912409
565.17,0.0002908756
566.32,0.0002906676
567.46,0.0002904623
568.6,0.000290352
569.74,0.0002903186
570.88,0.0002905805
572.03,0.0002908999
573.18,0.0002911971
574.33,0.0002917535
575.53,0.0002924689
576.67,0.0002929842
577.82,0.0002935207
578.96,0.0002940651
580.12,0.0002945235
581.26,0.0002949046
582.41,0.0002951978
583.56,0.0002953575
584.7,0.0002954965
585.86,0.0002954591
587.0,0.0002953005
588.15,0.0002951417
589.29,0.0002949751
590.43,0.0002948211
591.57,0.0002946613
592.71,0.0002945175
593.85,0.0002942185
595.0,0.0002940202
596.13,0.0002937948
597.28,0.000293627
598.42,0.0002934332
599.56,0.0002932364
600.7,0.0002931174
601.85,0.0002930181
602.99,0.000292965
604.13,0.0002928967
605.27,0.0002930581
606.41,0.0002930956
607.55,0.0002931898
608.69,0.0002932846
609.84,0.0002935617
610.98,0.0002937503
612.12,0.0002939724
613.26,0.0002941954
614.4,0.0002944802
615.55,0.0002945795
616.69,0.0002947185
617.83,0.0002948292
618.97,0.0002948356
620.11,0.0002946871
621.26,0.000294573
622.4,0.0002945434
623.53,0.0002944813
624.69,0.0002943547
625.84,0.0002942233
626.99,0.0002940813
628.13,0.0002939062
629.27,0.0002937153
630.41,0.0002933752
631.55,0.000293229
632.69,0.0002930271
633.84,0.0002927683
634.97,0.0002925599
636.13,0.0002924129
637.28,0.0002921823
638.42,0.0002919972
639.57,0.000291984
640.72,0.0002921409
641.87,0.0002923884
643.02,0.0002926564
644.16,0.0002929089
645.3,0.0002932626
646.44,0.0002935769
647.64,0.0002939207
648.79,0.0002943163
649.94,0.0002945134
651.09,0.0002947381
652.24,0.000295042
653.38,0.0002952547
654.53,0.0002953156
655.68,0.0002954889
656.84,0.0002955858
657.99,0.0002955657
659.14,0.000295425
660.29,0.0002952989
661.43,0.0002950332
662.57,0.0002947881
663.71,0.0002945157
664.84,0.0002942455
666.0,0.0002939926
667.14,0.0002937249
668.29,0.0002933985
669.43,0.0002931656
670.57,0.000292887
671.76,0.0002925617
672.89,0.0002923653
674.04,0.0002921725
675.18,0.0002920095
676.33,0.0002918893
677.48,0.0002919203
678.63,0.0002919566
679.78,0.000292051
680.93,0.0002922184
682.07,0.0002925343
683.21,0.000292844
684.35,0.0002930496
685.49,0.0002933089
686.63,0.0002935267
687.78,0.0002937339
688.92,0.0002937502
690.08,0.0002940508
691.24,0.0002943034
692.38,0.0002943211
693.54,0.0002944163
694.68,0.0002945837
695.82,0.0002946435
696.96,0.000294513
698.11,0.0002944338
699.26,0.0002944809
700.4,0.0002942797
701.54,0.0002941598
702.69,0.0002939262
703.83,0.000293754
704.97,0.0002935078
706.13,0.0002933058
707.27,0.0002931723
708.43,0.0002929814
709.57,0.0002928596
710.71,0.0002926211
711.85,0.0002927818
713.0,0.000292826
714.16,0.0002928089
715.3,0.0002930112
716.44,0.0002930483
717.58,0.0002932892
718.72,0.0002935194
719.86,0.0002936425
721.01,0.0002938024
722.14,0.0002938906
723.29,0.0002939977
724.43,0.0002940202
725.57,0.0002940319
726.71,0.0002940793
727.86,0.0002940836
729.0,0.0002940602
730.14,0.0002938385
731.28,0.0002936162
732.43,0.0002934167
733.56,0.0002931541
734.71,0.0002928966
735.87,0.0002927144
737.0,0.0002923934
738.15,0.0002921334
739.3,0.0002920807
740.43,0.0002919001
741.58,0.0002919458
742.72,0.0002917882
743.86,0.0002917225
745.0,0.0002917996
746.14,0.0002917389
747.29,0.0002919283
748.43,0.0002922321
749.57,0.0002923096
750.71,0.0002925477
751.85,0.0002928158
753.0,0.0002931553
754.14,0.0002933384
755.29,0.0002935929
756.42,0.0002937382
757.56,0.0002936789
758.7,0.0002936906
759.85,0.0002936202
760.99,0.0002936916
762.14,0.0002936297
763.29,0.0002936063
764.43,0.0002936088
765.57,0.0002936578
766.71,0.0002935744
767.86,0.000293483
769.01,0.0002933553
770.16,0.0002931524
771.31,0.0002928309
772.49,0.0002924912
773.63,0.0002921716
774.78,0.0002919572
775.93,0.0002915642
777.08,0.0002913473
778.23,0.0002911233
779.38,0.0002910588
780.52,0.0002909976
781.67,0.000290898
782.82,0.0002911176
783.97,0.0002912422
785.13,0.0002914227
786.27,0.0002918696
787.41,0.0002922713
788.61,0.0002926247
789.76,0.0002931675
790.91,0.000293605
792.07,0.0002941425
793.21,0.0002944868
794.36,0.000294956
795.52,0.0002950271
796.65,0.0002951756
797.8,0.0002952513
798.96,0.0002951059
800.1,0.0002948975
801.26,0.0002946808
802.4,0.0002943327
803.56,0.0002940397
804.7,0.000293749
805.85,0.0002934164
807.0,0.0002930179
808.16,0.0002926884
809.3,0.0002925165
810.44,0.0002921587
811.58,0.0002918164
812.72,0.0002916788
813.87,0.0002914822
815.01,0.0002911885
816.17,0.000291095
817.32,0.000291201
818.45,0.0002913304
819.59,0.0002915738
820.74,0.0002916896
821.88,0.0002920936
823.02,0.0002922061
824.17,0.0002925533
825.32,0.000292935
826.46,0.0002932612
827.6,0.0002934996
828.75,0.0002939316
829.89,0.0002941675
831.03,0.0002943599
832.18,0.0002946571
833.33,0.0002948111
834.47,0.0002946662
835.61,0.000294555
836.78,0.0002943302
837.93,0.0002938539
839.08,0.0002935884
840.23,0.0002930925
841.38,0.0002925998
842.53,0.0002923507
843.67,0.0002918175
844.83,0.0002911733
845.97,0.0002907838
847.13,0.0002904659
848.26,0.0002903499
849.4,0.0002901386
850.55,0.0002899408
851.69,0.0002897148
852.84,0.0002896735
853.99,0.0002898179
855.19,0.0002895276
856.32,0.0002896581
857.47,0.0002898413
858.61,0.0002898973
859.76,0.0002902328
860.89,0.0002906193
862.04,0.0002911971
863.18,0.000291747
864.32,0.0002924617
865.47,0.0002932037
866.62,0.000293902
867.76,0.0002946587
868.9,0.0002952955
870.04,0.0002958585
871.18,0.0002963588
872.33,0.000296857
873.53,0.0002971856
874.68,0.000297338
875.82,0.0002974416
876.95,0.0002975098
878.11,0.0002972123
879.24,0.0002970016
880.4,0.0002966335
881.55,0.00029615
882.69,0.0002957282
883.83,0.0002952123
884.97,0.0002947288
886.12,0.0002942827
887.26,0.0002935483
888.4,0.0002932148
889.53,0.0002926608
890.68,0.0002921785
891.82,0.0002915955
892.97,0.0002911855
894.11,0.000290687
895.25,0.0002903483
896.4,0.0002902841
897.55,0.0002900156
898.69,0.0002899917
899.83,0.0002900561
900.97,0.0002904954
902.12,0.0002906902
903.26,0.0002911719
904.41,0.000291686
905.56,0.0002921667
906.7,0.0002924744
907.85,0.0002928603
908.99,0.0002932955
910.13,0.0002934408
911.27,0.0002935118
912.41,0.0002937226
913.61,0.00029366
914.76,0.000293615
915.91,0.0002936268
917.06,0.0002935624
918.21,0.0002933487
919.36,0.0002931175
920.55,0.0002929837
921.7,0.0002928413
922.85,0.0002926175
924.0,0.0002926908
925.15,0.0002927206
926.3,0.0002925889
927.45,0.0002925964
928.58,0.0002928126
929.72,0.0002928653
930.88,0.000293
932.03,0.0002930515
933.17,0.0002932705
934.33,0.0002932584
